year,consumption,assets,primary deficit,debt
2026.0,1.5274345999664953,3.5,0.06,0.0
2027.0,1.5274345999664953,3.44059405940594,0.06,0.0594059405940594
2028.0,1.5274345999664953,3.380599941182236,0.06,0.11940005881776296
2029.0,1.5274345999664953,3.3200118217880012,0.06,0.17998817821199825
2030.0,1.5274345999664953,3.258823820023526,0.06,0.24117617997647348
2031.0,1.5274345999664953,3.1970299964594027,0.06,0.30297000354059694
2032.0,1.5274345999664953,3.1346243528599906,0.06,0.3653756471400088
2033.0,1.5274345999664953,3.0716008316011782,0.06,0.4283991683988208
2034.0,1.5274345999664953,3.0079533150823785,0.06,0.492046684917621
2035.0,1.5274345999664953,2.943675625132699,0.06,0.5563243748673004
2036.0,1.5274345999664953,2.878761522411241,0.06,0.6212384775887588
2037.0,1.5274345999664953,2.813204705801451,0.06,0.6867952941985485
2038.0,1.5274345999664953,2.7469988117994855,0.06,0.7530011882005143
2039.0,1.5274345999664953,2.68013741389651,0.06,0.8198625861034896
2040.0,1.5274345999664953,2.6126140219548915,0.06,0.8873859780451084
2041.0,1.5274345999664953,2.5444220815782073,0.06,0.9555779184217926
2042.0,1.5274345999664953,2.4755549734750213,0.06,1.0244450265249787
2043.0,1.5274345999664953,2.406006012816358,0.06,1.093993987183642
2044.0,1.5274345999664953,2.335768448586817,0.06,1.164231551413183
2045.0,1.5274345999664953,2.2648354629292604,0.06,1.2351645370707394
2046.0,1.5274345999664953,2.1932001704830157,0.06,1.3067998295169845
2047.0,1.5274345999664953,2.1208556177155207,0.06,1.3791443822844793
2048.0,1.5274345999664953,2.047794782247358,0.06,1.4522052177526426
2049.0,1.5274345999664953,1.9740105721705996,0.06,1.5259894278294015
2050.0,1.5274345999664953,1.8994958253604073,0.06,1.6005041746395936
2051.0,1.4674345999664953,1.8242433087798173,0.052324243308779814,1.6757566912201838
2052.0,1.4674345999664953,1.8076516583716968,0.04534766445477968,1.7441545231221458
2053.0,1.4674345999664953,1.7908957341971594,0.03900657595183699,1.8063220574647212
2054.0,1.4674345999664953,1.7739739097832703,0.03324309155015245,1.8628268065008442
2055.0,1.4674345999664953,1.756884542553402,0.028004597806839168,1.9141845882980333
2056.0,1.4674345999664953,1.7396259736677924,0.023243273790639573,1.9608642355156765
2057.0,1.4674345999664953,1.722196527862523,0.018915654536311624,2.0032918752639897
2058.0,1.4674345999664953,1.7045945132869047,0.014982234263566024,2.041854819114437
2059.0,1.4674345999664953,1.6868182213392504,0.011407105738436854,2.076905098772566
2060.0,1.4674345999664953,1.668865926501025,0.00815763248490361,2.1087626796895584
2061.0,1.4674345999664953,1.6507358861693524,0.005204150854464483,2.1377183819487655
2062.0,1.4674345999664953,1.6324263404878612,0.002519699233926742,2.1640365350912925
2063.0,1.4674345999664953,1.6139355121758598,7.97719194181811e-05,2.1879573911158863
2064.0,1.4674345999664953,1.5952616063558192,-0.002137904590204451,2.2096993176808137
2065.0,1.4674345999664953,1.5764028103791445,-0.004153574922712943,2.2294607915289366
2066.0,1.4674345999664953,1.5573572936502251,-0.005985639640775116,2.247422210333468
2067.0,1.4674345999664953,1.5381232074487423,-0.007650823216201924,2.263747539504319
2068.0,1.4674345999664953,1.5186986847502153,-0.009164326703570052,2.27858580898832
2069.0,1.4674345999664953,1.4990818400447719,-0.01053996650694029,2.2920724737272438
2070.0,1.4674345999664953,1.479270769154126,-0.01179030050643918,2.3043306501929193
2071.0,1.4674345999664953,1.4592635490467414,-0.012926742696082726,2.315472240287464
2072.0,1.4674345999664953,1.439058237651165,-0.0139596673793429,2.325598952868446
2073.0,1.4674345999664953,1.4186528736675132,-0.01489850387363284,2.3348032322242305
2074.0,1.4674345999664953,1.3980454763770926,-0.015751822588244885,2.343169101975329
2075.0,1.4674345999664953,1.3772340454501333,-0.01652741326152593,2.3507729321055355
2076.0,1.4674345999664953,1.3562165607516201,-0.017232356071498207,2.3576841361248713
2077.0,1.4674345999664953,1.3349909821452006,-0.017873086269076972,2.3639658047285845
2078.0,1.4674345999664953,1.3135552492951532,-0.018455452923905987,2.369675281736712
2079.0,1.4674345999664953,1.291907281466392,-0.018984772319087212,2.3748646875718222
2080.0,1.4674345999664953,1.270044977322495,-0.019465876482232126,2.379581395053635
2081.0,1.4674345999664953,1.2479662147217279,-0.01990315729586285,2.3838684618539365
2082.0,1.4674345999664953,1.2256688505110522,-0.020300606589836123,2.387765023559557
2083.0,1.4674345999664953,1.2031507203180922,-0.020661852581784105,2.3913066509315954
2084.0,1.4674345999664953,1.1804096383410436,-0.020990192998227915,2.3945256746222205
2085.0,1.4674345999664953,1.1574433971364992,-0.021288625178718427,2.397451480313304
2086.0,1.4674345999664953,1.1342497674051775,-0.021559873437817723,2.40011077697114
2087.0,1.4674345999664953,1.110826497775526,-0.021806413934702035,2.4025278406660844
2088.0,1.4674345999664953,1.0871713145851847,-0.022030497277414705,2.4047247361828754
2089.0,1.4674345999664953,1.0632819216602858,-0.022234169068117905,2.4067215184446713
2090.0,1.4674345999664953,1.0391560000925661,-0.022419288576895666,2.4085364155895514
2091.0,1.4674345999664953,1.014791208014275,-0.02258754571457684,2.41018599537074
2092.0,1.4674345999664953,0.9901851803708518,-0.022740476459518738,2.4116853163995824
2093.0,1.4674345999664953,0.9653355286913552,-0.022879476879178802,2.413048065611936
2094.0,1.4674345999664953,0.9402398408566163,-0.02300581587447379,2.4142866832128673
2095.0,1.4674345999664953,0.9148956808650975,-0.02312064676326666,2.4154124762402485
2096.0,1.4674345999664953,0.8893005885964352,-0.023225017808723943,2.416435721783947
2097.0,1.4674345999664953,0.8634520795726377,-0.02331988178865442,2.4173657608028734
2098.0,1.4674345999664953,0.8373476447169215,-0.02340610469318529,2.4182110833963133
2099.0,1.4674345999664953,0.8109847501101585,-0.023484473630174738,2.418979406307974
2100.0,1.4674345999664953,0.7843608367449126,-0.02355570401052752,2.419677743370256
2101.0,1.4674345999664953,0.7574733202770404,-0.023620446079006582,2.4203124695318157
2102.0,1.4674345999664953,0.7303195907748328,-0.02367929085015884,2.4208893790529165
2103.0,1.4674345999664953,0.7028970124656727,-0.023732775503542775,2.421413738399818
2104.0,1.4674345999664953,0.6752029234801845,-0.02378138828750956,2.421890334321061
2105.0,1.4674345999664953,0.64723463559385,-0.02382557297630313,2.422323517544527
2106.0,1.4674345999664953,0.6189894339660663,-0.023865732921166987,2.4227172424941723
2107.0,1.4674345999664953,0.5904645768766216,-0.023902234732439288,2.4230751033889986
2108.0,1.4674345999664953,0.5616572954595582,-0.02393541162624916,2.423400367053801
2109.0,1.4674345999664953,0.5325647934344052,-0.02396556646636546,2.4236960027412153
2110.0,1.4674345999664953,0.5031842468347459,-0.023992974528966215,2.423964709237301
2111.0,1.4674345999664953,0.4735128037341,-0.024017886015567695,2.4242089394981003
2112.0,1.4674345999664953,0.44354758396909105,-0.024040528337053,2.424430923042074
2113.0,1.4674345999664953,0.4132856788598742,-0.024061108189650533,2.424632686302834
2114.0,1.4674345999664953,0.3827241509277939,-0.02407981344181344,2.4248160711279607
2115.0,1.4674345999664953,0.35186003361024737,-0.024096814849224872,2.4249827515927787
2116.0,1.4674345999664953,0.3206903309727252,-0.024112267613584967,2.425134249282584
2117.0,1.4674345999664953,0.2892120174179998,-0.024126312799409293,2.425271947182823
2118.0,1.4674345999664953,0.2574220373924356,-0.024139078621772392,2.4253971023040295
2119.0,1.4674345999664953,0.2253173050893904,-0.02415068161675192,2.4255108571567696
2120.0,1.4674345999664953,0.19289470414968146,-0.024161227705258068,2.4256142501813396
2121.0,1.4674345999664953,0.16015108735908423,-0.024170813159959694,2.4257082252274342
2122.0,1.4674345999664953,0.1270832763428375,-0.024179525484134046,2.42579364017032
2123.0,1.4674345999664953,0.09368806125712305,-0.024187444210462813,2.4258712747421707
2124.0,1.4674345999664953,0.05996220047749059,-0.024194641627066582,2.425941837650051
2125.0,1.4674345999664953,0.025902420284198403,-0.024201183437405453,2.4260059730455303
2126.0,1.4674345999664953,-0.008494585455561952,-0.024207129360069895,2.426064266404986
2127.0,1.4674345999664953,-0.04323215560858716,-0.024212533673937178,2.426117249874273
2128.0,1.4674345999664953,-0.0783136620997613,-0.024217445713670016,2.4261654071265553
2129.0,1.4674345999664953,-0.11374251023936281,-0.024221910320080656,2.4262091777776402
2130.0,1.4674345999664953,-0.1495221390536139,-0.02422596824947171,2.4262489613991214
2131.0,1.4674345999664953,-0.1856560216185011,-0.024229656545690512,2.4262851211659724
2132.0,1.4674345999664953,-0.2221476653969021,-0.024233008878293345,2.426317987171883
2133.0,1.4674345999664953,-0.2590006125790495,-0.02423605584990661,2.426347859442601
2134.0,1.4674345999664953,-0.2962184404263667,-0.024238825275590747,2.426375010674798
2135.0,1.4674345999664953,-0.333804761618707,-0.024241342436757123,2.4263996887254486
2136.0,1.4674345999664953,-0.3717632246050307,-0.024243630311955866,2.4264221188744557
2137.0,1.4674345999664953,-0.4100975139575557,-0.024245709786641458,2.426442505881177
2138.0,1.4674345999664953,-0.44881135072941264,-0.024247599843830934,2.426461035853623
2139.0,1.4674345999664953,-0.4879084928158424,-0.02424931773739523,2.4264778779473906
2140.0,1.4674345999664953,-0.5273927353189696,-0.024250879149565554,2.4264931859098446
2141.0,1.4674345999664953,-0.567267910916187,-0.024252298334092637,2.4265070994836395
2142.0,1.4674345999664953,-0.6075378902321887,-0.024253588246365768,2.4265197456823957
