year,debt_closed,debt_open,primary_deficit_closed,primary_deficit_open,capital,assets,consumption_closed,consumption_open,consumption_chg_closed,consumption_chg_open,anmp,r
2026.0,0.0,0.0,0.06,0.06,10.0,10.000000000000195,1.4679620895022323,1.4679620895022323,0.030000000000000027,0.030000000000000027,0.010552748953573679,0.010552748953573679
2027.0,0.0594059405940594,0.0594059405940594,0.06,0.06,9.97029702970297,9.970297029703165,1.4679641799395986,1.4679620895022323,0.030002090437366347,0.030000000000000027,0.010623127011571185,0.01069350506956869
2028.0,0.1188526716049153,0.11884439264504892,0.06,0.06,9.940573664197542,9.940577803677668,1.4679704778753344,1.4679620895022323,0.030008388373102157,0.030000000000000027,0.010693904772604013,0.010835060591634346
2029.0,0.17835687871607145,0.17831537394571492,0.06,0.06,9.910821560641963,9.910842313027336,1.4679810271536717,1.4679620895022323,0.03001893765143948,0.030000000000000027,0.010765105792018975,0.010977462630464271
2030.0,0.23793543038323103,0.23781890229854125,0.06,0.06,9.881032284808384,9.881090548850924,1.467995876968457,1.4679620895022323,0.03003378746622465,0.030000000000000027,0.010836754292082126,0.011120759630590574
2031.0,0.29760539912091494,0.2973549955157547,0.06,0.06,9.851197300439543,9.851322502242319,1.4680150820495754,1.4679620895022323,0.03005299254734317,0.030000000000000027,0.0109088752032976,0.01126500145302152
2032.0,0.3573840835390486,0.35692367141933024,0.06,0.06,9.821307958230475,9.82153816429053,1.4680387028671682,1.4679620895022323,0.030076613364935945,0.030000000000000027,0.010981494208131243,0.011410239462688807
2033.0,0.4172890312003789,0.4165249478409963,0.06,0.06,9.79135548439981,9.791737526079695,1.4680668058548358,1.4679620895022323,0.03010471635260359,0.030000000000000027,0.011054637787327057,0.011556526621080435
2034.0,0.4773380623743871,0.4761588426222403,0.06,0.06,9.761330968812807,9.761920578689072,1.4680994636531666,1.4679620895022323,0.030137374150934315,0.030000000000000027,0.011128333269020824,0.011703917584467982
2035.0,0.53754929476866,0.5358253736143138,0.06,0.06,9.73122535261567,9.732087313193034,1.4681367553750413,1.4679620895022323,0.030174665872809037,0.030000000000000027,0.01120260888087321,0.011852468808172756
2036.0,0.5979411693245157,0.5955245586782381,0.06,0.06,9.701029415337743,9.702237720661072,1.468178766894333,1.4679620895022323,0.030216677392100655,0.030000000000000027,0.011277493805464306,0.012002238657354947
2037.0,0.6585324771701054,0.6552564156848092,0.06,0.06,9.67073376141495,9.672371792157787,1.4682255911597701,1.4679620895022323,0.030263501657537883,0.030000000000000027,0.011353018239213586,0.012153287524853507
2038.0,0.7193423878312948,0.7150209625146035,0.06,0.06,9.640328806084353,9.642489518742888,1.4682773285359256,1.4679620895022323,0.030315239033693375,0.030000000000000027,0.011429213455113121,0.012305677956652564
2039.0,0.7803904788084318,0.7748182170579829,0.06,0.06,9.609804760595784,9.6125908914712,1.4683340871734858,1.4679620895022323,0.030371997671253537,0.030000000000000027,0.011506111869588609,0.012459474785603525
2040.0,0.8416967666357135,0.8346481972151003,0.06,0.06,9.579151616682143,9.582675901392642,1.4683959834111808,1.4679620895022323,0.030433893908948573,0.030000000000000027,0.011583747113832352,0.012614745274091024
2041.0,0.9032817395493554,0.8945109208959051,0.06,0.06,9.548359130225322,9.55274453955224,1.4684631422120062,1.4679620895022323,0.03050105270977399,0.030000000000000027,0.011662154109984946,0.012771559266396199
2042.0,0.965166391901251,0.9544064060201481,0.06,0.06,9.517416804049374,9.522796796990118,1.4685356976366395,1.4679620895022323,0.030573608134407237,0.030000000000000027,0.011741369152578437,0.012929989351583196
2043.0,1.0273722604663764,1.0143346705173875,0.06,0.06,9.486313869766812,9.492832664741497,1.4686137933572596,1.4679620895022323,0.030651703855027357,0.030000000000000027,0.011821429995694716,0.013090111037815766
2044.0,1.0899214628050033,1.0742957323269935,0.06,0.06,9.455039268597499,9.462852133836696,1.468697583215329,1.4679620895022323,0.030735493713096806,0.030000000000000027,0.011902375946336863,0.01325200293910006
2045.0,1.1528367378549342,1.1342896093981543,0.06,0.06,9.423581631072533,9.432855195301117,1.4687872318272672,1.4679620895022323,0.03082514232503497,0.030000000000000027,0.011984247964561795,0.013415746975549897
2046.0,1.2161414889446678,1.1943163196898814,0.06,0.06,9.391929255527668,9.402841840155254,1.4688829152423855,1.4679620895022323,0.0309208257401532,0.030000000000000027,0.012067088770977952,0.013581428588382224
2047.0,1.2798598294357808,1.2543758811710148,0.06,0.06,9.36007008528211,9.372812059414688,1.4689848216579227,1.4679620895022323,0.031022732155690402,0.030000000000000027,0.01215094296227441,0.013749136970975143
2048.0,1.3440166312221211,1.314468311820228,0.06,0.06,9.327991684388941,9.342765844090083,1.4690931521965709,1.4679620895022323,0.03113106269433863,0.030000000000000027,0.012235857135516615,0.01391896531745955
2049.0,1.4086375763348422,1.3745936296260344,0.06,0.06,9.29568121183258,9.312703185187182,1.469208121752472,1.4679620895022323,0.031246032250239697,0.030000000000000027,0.012321880022023085,0.014091011090472477
2050.0,1.4737492119261708,1.4347518525867917,0.06,0.06,9.263125394036916,9.282624073706803,1.4693299599123633,1.4679620895022323,0.031367870410131005,0.030000000000000027,0.012409062631724144,0.014265376309874594
2051.0,1.539379008931365,1.494942998710708,0.05331618200353449,0.053917367182181035,9.230310495534319,9.252528500644843,1.4661170029610782,1.4649207730933227,0.02815491345884591,0.026958683591090438,0.012497458409002515,0.014442167864431352
2052.0,1.598937783157295,1.5491446772853326,0.04724849017383077,0.04844000165403256,9.200531108421353,9.225427661357532,1.463205565865906,1.4621820903292486,0.025243476363673745,0.024220000827016364,0.01257813267245847,0.01460351639134326
2053.0,1.6530063242140607,1.5979528849619031,0.04173833940502219,0.04350767481012703,9.17349683789297,9.201023557519246,1.460566089204317,1.4597159269072957,0.02260399970208482,0.021753837405063425,0.012651748786981581,0.014750748620389498
2054.0,1.7021066775994835,1.6419043122838337,0.03673301250934163,0.03906615124006603,9.14894666120026,9.179047843858282,1.4581721187236205,1.4574951651222652,0.02021002922138826,0.019533075620032925,0.012718915141602907,0.014885081329632135
2055.0,1.7467086004322807,1.6814822450863576,0.03218502427097384,0.035066592360917005,9.126645699783861,9.159258877457018,1.4559999462685314,1.4554953856826907,0.0180378567662991,0.017533296180458402,0.012780189329525182,0.015007629705476672
2056.0,1.7872352282989241,1.7171218786629332,0.028051561921888655,0.03146501939266636,9.106382385850539,9.141439060668732,1.454028297167588,1.4536945991985655,0.016066207665355714,0.01573250969633322,0.012836082084102335,0.01511941521463099
2057.0,1.8240680611125546,1.7492151031324936,0.02429399176007405,0.02822182977161655,9.087965969443726,9.125392448433953,1.452238057378327,1.4520730043880405,0.014275967876094642,0.01411091488580829,0.012887060969057396,0.015221372984541112
2058.0,1.85755135958417,1.778114812626997,0.02087742316160515,0.02530136168425355,9.071224320207918,9.110942593686701,1.4506120347466336,1.450612770344359,0.012649945244401328,0.012650680842126727,0.012933553825740296,0.015314358697906913
2059.0,1.8879960302635959,1.804138785682707,0.017770322522225254,0.022671501933239416,9.056001984868205,9.097930607158847,1.4491347496138736,1.449297840468852,0.011172660111641308,0.011335750966619651,0.01297595198351778,0.015399155013461868
2060.0,1.9156830656640105,1.8275731795036252,0.014944170743657,0.02030333282366048,9.042158467167997,9.086213410248389,1.4477922507374439,1.4481137559140624,0.009830161235211632,0.010151666411830185,0.013014613241720763,0.015476477529867833
2061.0,1.9408665963641238,1.8486756765196752,0.01237315878932195,0.018170814186725098,9.02956670181794,9.075662161740363,1.446571953101775,1.4470474965955948,0.008609863599542855,0.009085407093362585,0.013049864633158645,0.01554698031274361
2062.0,1.9637766038780005,1.8676783178389016,0.010033916602037302,0.016250497044472817,9.018111698061002,9.06616084108075,1.4454624947084205,1.4460873380244688,0.007500405206188221,0.008125248522236506,0.013082004980216833,0.015611261006859972
2063.0,1.9846213362399427,1.8847900547500605,0.007905271326098386,0.014521265766978618,9.00768933188003,9.05760497262517,1.4444536098629077,1.4452227223857215,0.006491520360675462,0.007260632883489215,0.013111307255114946,0.0156698655566562
2064.0,2.0035894624611807,1.900199046331692,0.0059680313273728,0.0129641058868366,8.99820526876941,9.049900476834353,1.4435360168365163,1.4444441424456504,0.005573927334284079,0.006482052943418193,0.013138020756127772,0.015723292558681864
2065.0,2.0208519971032897,1.9140747284319675,0.004204792973699128,0.01156189501783268,8.989574001448355,9.042962635784214,1.4427013180847412,1.4437430370111486,0.00473922858250897,0.005780947508916334,0.013162373111541809,0.015771997269509952
2066.0,2.036564022037016,1.926569676769626,0.002599767537317825,0.010299214578767294,8.981717988981494,9.036715161615385,1.4419419114604028,1.443111696791616,0.003979821958170593,0.00514960728938374,0.013184572122904983,0.015816395292236288
2067.0,2.0508662288958592,1.937821284642486,0.0011386259223161736,0.009162180252160671,8.974566885552072,9.031089357678955,1.4412509110760796,1.4425431796283126,0.003288821573847356,0.004581090126080323,0.013204807458777446,0.015856865963981226
2068.0,2.0638863026929037,1.947953273691456,-0.00019164078766936992,0.008138289313580268,8.968056848653548,9.026023363154469,1.4406220766542552,1.4420312341590225,0.00265998715202298,0.004069144656790202,0.013223252209748182,0.015893755465922685
