index,year,primary deficit,debt,MPC,consumption,assets,assets_chg,debt_chg,foreign_capital,income,savings_rate,debt_to_earnings
0,2026.0,0.06,0.0,0.25,1.0630182217443005,3.5,0.0,0.0,0.0,1.0830182217443007,0.018466909972935076,0.0
1,2027.0,0.06,0.0594059405940594,0.25,1.0630182217443005,3.4851485148514856,-0.01485148514851442,0.0594059405940594,0.01485148514851442,1.0827211920413304,0.01819763983734589,0.054867255790991956
2,2028.0,0.06,0.11940005881776296,0.25,1.0630182217443005,3.47014998529556,-0.029850014704440042,0.11940005881776296,0.029850014704440042,1.0824212214502118,0.017925553676705872,0.1103083129299632
3,2029.0,0.06,0.17998817821199825,0.25,1.0630182217443005,3.4550029554470014,-0.04499704455299858,0.17998817821199825,0.04499704455299858,1.0821182808532408,0.017650620497678012,0.16632948670830988
4,2030.0,0.06,0.24117617997647348,0.25,1.0630182217443005,3.439705955005883,-0.06029404499411717,0.24117617997647348,0.06029404499411717,1.0818123408444182,0.01737280893417044,0.2229371683708297
5,2031.0,0.06,0.30297000354059694,0.25,1.0630182217443005,3.424257499114852,-0.075742500885148,0.30297000354059694,0.075742500885148,1.0815033717265976,0.017092087242211694,0.28013782616036753
6,2032.0,0.06,0.3653756471400088,0.25,1.0630182217443005,3.4086560882149994,-0.09134391178500056,0.3653756471400088,0.09134391178500056,1.0811913435086007,0.016808423294739066,0.3379380063794437
7,2033.0,0.06,0.4283991683988208,0.25,1.0630182217443005,3.3929002079002966,-0.10709979209970344,0.4283991683988208,0.10709979209970344,1.0808762259023066,0.016521784576303707,0.39634433446919115
8,2034.0,0.06,0.492046684917621,0.25,1.0630182217443005,3.376988328770597,-0.12301167122940315,0.492046684917621,0.12301167122940315,1.0805579883197125,0.01623213817768972,0.4553635161059358
9,2035.0,0.06,0.5563243748673004,0.25,1.0630182217443005,3.360918906283177,-0.1390810937168232,0.5563243748673004,0.1390810937168232,1.0802365998699641,0.0159394507904438,0.5150023383157626
10,2036.0,0.06,0.6212384775887588,0.25,1.0630182217443005,3.344690380602812,-0.15530961939718813,0.6212384775887588,0.15530961939718813,1.0799120293563569,0.015643688701315182,0.575267670607416
11,2037.0,0.06,0.6867952941985485,0.25,1.0630182217443005,3.3283011764503647,-0.17169882354963528,0.6867952941985485,0.17169882354963528,1.079584245273308,0.015344817786604166,0.6361664661238912
12,2038.0,0.06,0.7530011882005143,0.25,1.0630182217443005,3.3117497029498737,-0.1882502970501263,0.7530011882005143,0.1882502970501263,1.0792532158032981,0.01504280350641697,0.6977057628130842
13,2039.0,0.06,0.8198625861034896,0.25,1.0630182217443005,3.2950343534741298,-0.20496564652587024,0.8198625861034896,0.20496564652587024,1.0789189088137832,0.014737610898825259,0.759892684617871
14,2040.0,0.06,0.8873859780451084,0.25,1.0630182217443005,3.278153505488725,-0.2218464945112748,0.8873859780451084,0.2218464945112748,1.0785812918540751,0.014429204573928607,0.822734442686
15,2041.0,0.06,0.9555779184217926,0.25,1.0630182217443005,3.261105520394554,-0.23889447960544619,0.9555779184217926,0.23889447960544619,1.0782403321521918,0.014117548707816995,0.8862383366001879
16,2042.0,0.06,1.0244450265249787,0.25,1.0630182217443005,3.2438887433687578,-0.25611125663124223,1.0244450265249787,0.25611125663124223,1.077895996611676,0.013802607036433117,0.9504117556288193
17,2043.0,0.06,1.093993987183642,0.25,1.0630182217443005,3.2265015032040916,-0.27349849679590843,1.093993987183642,0.27349849679590843,1.0775482518083825,0.013484342849331522,1.0152621799976562
