index,fraction,debt,capital,income,year
0,0,0.0,10.0,0.06,2026.0
1,0,0.0594059405940594,10.0,0.06062689597744002,2027.0
2,0,0.11884439264504892,10.0,0.061254135040123135,2028.0
3,0,0.17831537394571492,10.0,0.06188171737581174,2029.0
4,0,0.23781890229854125,10.0,0.06250964317237097,2030.0
5,0,0.2973549955157547,10.0,0.06313791261776878,2031.0
6,0,0.35692367141933024,10.0,0.063766525900076,2032.0
7,0,0.4165249478409963,10.0,0.06439548320746641,2033.0
8,0,0.4761588426222403,10.0,0.0650247847282167,2034.0
9,0,0.5358253736143138,10.0,0.06565443065070667,2035.0
10,0,0.5955245586782381,10.0,0.0662844211634192,2036.0
11,0,0.6552564156848092,10.0,0.06691475645494031,2037.0
12,0,0.7150209625146035,10.0,0.06754543671395923,2038.0
13,0,0.7748182170579829,10.0,0.06817646212926845,2039.0
14,0,0.8346481972151003,10.0,0.0688078328897638,2040.0
15,0,0.8945109208959051,10.0,0.06943954918444449,2041.0
16,0,0.9544064060201481,10.0,0.07007161120241313,2042.0
17,0,1.0143346705173875,10.0,0.07070401913287586,2043.0
18,0,1.0742957323269935,10.0,0.07133677316514235,2044.0
19,0,1.1342896093981543,10.0,0.07196987348862587,2045.0
20,0,1.1943163196898814,10.0,0.07260332029284336,2046.0
21,0,1.2543758811710148,10.0,0.07323711376741548,2047.0
22,0,1.314468311820228,10.0,0.07387125410206667,2048.0
23,0,1.3745936296260344,10.0,0.07450574148662517,2049.0
24,0,1.4347518525867917,10.0,0.07514057611102316,2050.0
25,0,1.494942998710708,10.0,0.06969312534747776,2051.0
26,0,1.5491446772853326,10.0,0.06478773652618959,2052.0
27,0,1.5979528849619031,10.0,0.0603704704447688,2053.0
28,0,1.6419043122838337,10.0,0.05639275525338737,2054.0
29,0,1.6814822450863576,10.0,0.052810852363204784,2055.0
30,0,1.7171218786629332,10.0,0.0495853755008851,2056.0
31,0,1.7492151031324936,10.0,0.046680857620773245,2057.0
32,0,1.778114812626997,10.0,0.044065360912536954,2058.0
33,0,1.804138785682707,10.0,0.04171012561595429,2059.0
34,0,1.8275731795036252,10.0,0.03958925378124668,2060.0
35,0,1.8486756765196752,10.0,0.037679424497615216,2061.0
36,0,1.8676783178389016,10.0,0.03595963745865953,2062.0
37,0,1.8847900547500605,10.0,0.0344109820449484,2063.0
38,0,1.900199046331692,10.0,0.033016429384595064,2064.0
39,0,1.9140747284319675,10.0,0.03176064510535495,2065.0
40,0,1.926569676769626,10.0,0.030629820719284745,2066.0
41,0,1.937821284642486,10.0,0.02961152178588447,2067.0
42,0,1.947953273691456,10.0,0.028694551184138203,2068.0
43,0,1.9570770543322713,10.0,0.027868825990005654,2069.0
44,0,1.9652929508141357,10.0,0.02712526660552072,2070.0
45,0,1.9726913043758976,10.0,0.02645569692037089,2071.0
46,0,1.979353466629969,10.0,0.025852754408143445,2072.0
47,0,1.985352694097141,10.0,0.025309809168665046,2073.0
48,0,1.9907549537285207,10.0,0.024820891026231837,2074.0
49,0,1.995619648272032,10.0,0.024380623882108834,2075.0
50,0,2.0000002694595453,10.0,0.023984166599444776,2076.0
51,0,2.0039449861970198,10.0,0.02362715977057849,2077.0
52,0,2.0074971742253447,10.0,0.02330567778139491,2078.0
53,0,2.01069589307598,10.0,0.023016185645634835,2079.0
54,0,2.013576315565955,10.0,0.02275550013451255,2080.0
55,0,2.0161701145549187,10.0,0.02252075477422612,2081.0
56,0,2.018505811216975,10.0,0.022309368326476228,2082.0
57,0,2.0206090886568826,10.0,0.02211901640540824,2083.0
58,0,2.0225030743190997,10.0,0.021947605918880054,2084.0
59,0,2.02420859429503,10.0,0.02179325205301425,2085.0
60,0,2.0257444023247966,10.0,0.021654257546958728,2086.0
61,0,2.027127386011639,10.0,0.021529094029963218,2087.0
62,0,2.028372752516438,10.0,0.021416385215555632,2088.0
63,0,2.029494195774251,10.0,0.02131489176802316,2089.0
64,0,2.0305040470715587,10.0,0.02122349767479124,2090.0
65,0,2.03141341063995,10.0,0.02114119797485235,2091.0
66,0,2.0322322857572304,10.0,0.021067087708307633,2092.0
67,0,2.0329696766985523,10.0,0.021000351965511393,2093.0
68,0,2.033633691746598,10.0,0.02094025692639993,2094.0
69,0,2.0342316323495027,10.0,0.02088614179147388,2095.0
70,0,2.0347700734069076,10.0,0.020837411515707983,2096.0
71,0,2.0352549355669467,10.0,0.020793530265490915,2097.0
72,0,2.035691550329146,10.0,0.020754015526648392,2098.0
73,0,2.0360847186691036,10.0,0.020718432798761913,2099.0
74,0,2.03643876382957,10.0,0.02068639081744226,2100.0
75,0,2.036757578858428,10.0,0.02065753725202241,2101.0
76,0,2.0370446694162876,10.0,0.020631554831362087,2102.0
77,0,2.037303192324406,10.0,0.02060815785516359,2103.0
78,0,2.0375359902768015,10.0,0.02058708905243772,2104.0
79,0,2.037745623098257,10.0,0.02056811675257573,2105.0
80,0,2.037934395891914,10.0,0.020551032337920723,2106.0
