index,year,primary deficit,debt,MPC,consumption,assets,assets_chg,debt_chg,foreign_capital,income,savings_rate
0,2026.0,0.06,0.0,0.25,1.4824345999664952,3.5,0.0,0.0,0.0,1.5024345999664954,0.013311727512429655
1,2027.0,0.06,0.0594059405940594,0.25,1.4824345999664952,3.485148514851485,-0.014851485148514865,0.0594059405940594,0.014851485148515309,1.5021375702635251,0.013116621730973272
2,2028.0,0.06,0.11940005881776296,0.25,1.4824345999664952,3.4701499852955595,-0.029850014704440486,0.11940005881776296,0.029850014704440042,1.5018375996724065,0.012919505884087369
3,2029.0,0.06,0.17998817821199825,0.25,1.4824345999664952,3.455002955447001,-0.04499704455299902,0.17998817821199825,0.04499704455299902,1.5015346590754355,0.012720358463587577
4,2030.0,0.06,0.24117617997647348,0.25,1.4824345999664952,3.4397059550058824,-0.06029404499411761,0.24117617997647348,0.06029404499411761,1.501228719066613,0.01251915771489035
5,2031.0,0.06,0.30297000354059694,0.25,1.4824345999664952,3.4242574991148524,-0.07574250088514756,0.30297000354059694,0.07574250088514756,1.5009197499487925,0.012315881633863502
6,2032.0,0.06,0.3653756471400088,0.25,1.4824345999664952,3.408656088215,-0.09134391178500012,0.3653756471400088,0.09134391178499968,1.5006077217307954,0.012110507963626484
7,2033.0,0.06,0.4283991683988208,0.25,1.4824345999664952,3.392900207900297,-0.107099792099703,0.4283991683988208,0.107099792099703,1.5002926041245013,0.011903014191306478
8,2034.0,0.06,0.492046684917621,0.25,1.4824345999664952,3.3769883287705973,-0.12301167122940271,0.492046684917621,0.12301167122940271,1.4999743665419074,0.011693377544743656
9,2035.0,0.06,0.5563243748673004,0.25,1.4824345999664952,3.360918906283178,-0.13908109371682187,0.5563243748673004,0.13908109371682187,1.499652978092159,0.011481574989147734
10,2036.0,0.06,0.6212384775887588,0.25,1.4824345999664952,3.344690380602814,-0.1553096193971859,0.6212384775887588,0.1553096193971859,1.4993284075785516,0.01126758322370498
11,2037.0,0.06,0.6867952941985485,0.25,1.4824345999664952,3.328301176450367,-0.17169882354963306,0.6867952941985485,0.17169882354963306,1.4990006234955027,0.011051378678133814
12,2038.0,0.06,0.7530011882005143,0.25,1.4824345999664952,3.311749702949876,-0.18825029705012408,0.7530011882005143,0.18825029705012408,1.4986695940254928,0.010832937509187552
13,2039.0,0.06,0.8198625861034896,0.25,1.4824345999664952,3.295034353474132,-0.20496564652586802,0.8198625861034896,0.20496564652586802,1.498335287035978,0.010612235597105764
14,2040.0,0.06,0.8873859780451084,0.25,1.4824345999664952,3.2781535054887274,-0.22184649451127259,0.8873859780451084,0.22184649451127214,1.4979976700762698,0.010389248542010255
15,2041.0,0.06,0.9555779184217926,0.25,1.4824345999664952,3.261105520394557,-0.23889447960544308,0.9555779184217926,0.23889447960544352,1.4976567103743865,0.010163951660248026
16,2042.0,0.06,1.0244450265249787,0.25,1.4824345999664952,3.2438887433687604,-0.25611125663123957,1.0244450265249787,0.25611125663123957,1.4973123748338706,0.009936319980676123
17,2043.0,0.06,1.093993987183642,0.25,1.4824345999664952,3.2265015032040947,-0.2734984967959053,1.093993987183642,0.27349849679590577,1.4969646300305772,0.009706328240891873
18,2044.0,0.06,1.164231551413183,0.25,1.4824345999664952,3.208942112146709,-0.2910578878532908,1.164231551413183,0.2910578878532908,1.4966134422094295,0.009473950883403989
19,2045.0,0.06,1.2351645370707394,0.25,1.4824345999664952,3.1912088657323197,-0.30879113426768035,1.2351645370707394,0.3087911342676808,1.4962587772811418,0.009239162051745188
20,2046.0,0.06,1.3067998295169845,0.25,1.4824345999664952,3.1733000426207583,-0.32669995737924173,1.3067998295169845,0.3266999573792422,1.4959006008189104,0.009001935586524566
21,2047.0,0.06,1.3791443822844793,0.25,1.4824345999664952,3.1552139044288845,-0.3447860955711155,1.3791443822844793,0.3447860955711155,1.4955388780550731,0.008762245021419887
22,2048.0,0.06,1.4522052177526426,0.25,1.4824345999664952,3.136948695561844,-0.36305130443815603,1.4522052177526426,0.36305130443815603,1.4951735738777323,0.008520063579105805
23,2049.0,0.06,1.5259894278294015,0.25,1.4824345999664952,3.1185026430426546,-0.38149735695734543,1.5259894278294015,0.381497356957345,1.4948046528273484,0.008275364167121038
24,2050.0,0.06,1.6005041746395936,0.25,1.4824345999664952,3.0998739563401068,-0.40012604365989324,1.6005041746395936,0.4001260436598937,1.4944320790932974,0.008028119373669618
25,2051.0,0.052324243308779814,1.6757566912201838,0.25,1.4805156607936902,3.0810608271949596,-0.41893917280504045,1.6757566912201838,0.41893917280504045,1.4940558165103945,0.009062683982134948
26,2052.0,0.04534766445477968,1.7441545231221458,0.25,1.4787715160801902,3.063961369219469,-0.43603863078053084,1.7441545231221458,0.43603863078053084,1.4937138273508848,0.010003463178214591
27,2053.0,0.03900657595183699,1.8063220574647212,0.25,1.4771862439544545,3.048419485633826,-0.45158051436617397,1.8063220574647212,0.4515805143661744,1.4934029896791718,0.010858921427632314
28,2054.0,0.03324309155015245,1.8628268065008442,0.25,1.4757453728540333,3.034293298374795,-0.465706701625205,1.8628268065008442,0.465706701625205,1.4931204659339912,0.011636765737511504
29,2055.0,0.028004597806839168,1.9141845882980333,0.25,1.474435749418205,3.021453852925498,-0.47854614707450205,1.9141845882980333,0.4785461470745016,1.4928636770250052,0.012344012310302575
30,2056.0,0.023243273790639573,1.9608642355156765,0.25,1.4732454184141552,3.0097839411210874,-0.4902160588789126,1.9608642355156765,0.4902160588789126,1.4926302787889172,0.012987047529606822
31,2057.0,0.018915654536311624,2.0032918752639897,0.25,1.4721635136005733,2.9991770311840096,-0.5008229688159904,2.0032918752639897,0.5008229688159904,1.4924181405901755,0.013571683725040059
32,2058.0,0.014982234263566024,2.041854819114437,0.25,1.4711801585323867,2.989536295221398,-0.5104637047786018,2.041854819114437,0.5104637047786014,1.4922253258709233,0.014103210134336616
33,2059.0,0.011407105738436854,2.076905098772566,0.25,1.4702863764011045,2.980773725306866,-0.5192262746931342,2.076905098772566,0.5192262746931338,1.4920500744726326,0.014586439452590442
34,2060.0,0.00815763248490361,2.1087626796895584,0.25,1.469474008087721,2.9728093300776175,-0.5271906699223825,2.1087626796895584,0.5271906699223825,1.4918907865680477,0.01502575033115815
35,2061.0,0.005204150854464483,2.1377183819487655,0.25,1.4687356376801115,2.9655704045128157,-0.5344295954871843,2.1377183819487655,0.5344295954871843,1.4917460080567517,0.015425126162472573
36,2062.0,0.002519699233926742,2.1640365350912925,0.25,1.468064524774977,2.958990866227184,-0.5410091337728158,2.1640365350912925,0.5410091337728158,1.491614417291039,0.015788190462003967
37,2063.0,7.97719194181811e-05,2.1879573911158863,0.25,1.46745454294635,2.9530106522210358,-0.5469893477789642,2.1879573911158863,0.5469893477789647,1.491494813010916,0.01611823913489544
38,2064.0,-0.002137904590204451,2.2096993176808137,0.25,1.466900123818944,2.9475751705798037,-0.5524248294201963,2.2096993176808137,0.5524248294201968,1.4913861033780915,0.01641826989247454
39,2065.0,-0.004153574922712943,2.2294607915289366,0.25,1.4663962062358171,2.9426348021177735,-0.5573651978822265,2.2294607915289366,0.5573651978822269,1.4912872960088508,0.016691009062874722
40,2066.0,-0.005985639640775116,2.247422210333468,0.25,1.4659381900563015,2.9381444474166405,-0.5618555525833595,2.247422210333468,0.56185555258336,1.4911974889148283,0.016938936020411615
41,2067.0,-0.007650823216201924,2.263747539504319,0.25,1.4655218941624448,2.9340631151239274,-0.5659368848760726,2.263747539504319,0.5659368848760726,1.491115862268974,0.01716430544007746
42,2068.0,-0.009164326703570052,2.27858580898832,0.25,1.4651435182906027,2.9303535477529272,-0.5696464522470728,2.27858580898832,0.5696464522470723,1.491041670921554,0.017369167566554034
43,2069.0,-0.01053996650694029,2.2920724737272438,0.25,1.4647996083397603,2.9269818815681967,-0.5730181184318033,2.2920724737272438,0.5730181184318033,1.4909742375978592,0.017555386671381654
44,2070.0,-0.01179030050643918,2.3043306501929193,0.25,1.4644870248398856,2.923917337451778,-0.576082662548222,2.3043306501929193,0.576082662548222,1.4909129467155309,0.01772465785736276
