index,MPC,primary deficit,debt,consumption,capital,r,ANMP,income,year,debt_chg,consumption_chg,capital_chg,income_chg,wage_chg,cap_income_chg
0,0.25,0.06,0.0,1.4529620895022322,10.0,0.010552748953573679,0.010552748953573679,1.5979620895022322,2026.0,0.0,0.014999999999999902,0.0,0.06000000000000005,0.0,0.06
1,0.25,0.06,0.0594059405940594,1.4529626114625225,9.985148514851485,0.010623039605986692,0.010587894279780186,1.5984359152073435,2027.0,0.0594059405940594,0.015000521960290225,-0.014851485148515309,0.060473825705111395,-0.0007023844925859531,0.06117621019769733
2,0.25,0.06,0.11884852698398118,1.452964181230932,9.970287868254005,0.01069354859175671,0.010623148772665195,1.5989173656047033,2028.0,0.11884852698398118,0.015002091728699707,-0.029712131745995407,0.0609552761024712,-0.0014059040814358094,0.06236118018390698
3,0.25,0.06,0.1783360786953892,1.4529668051068318,9.955415980326153,0.010764286837954593,0.010658517895764136,1.5994065506353066,2029.0,0.1783360786953892,0.015004715604599594,-0.04458401967384695,0.061444461133074446,-0.002110661303833042,0.06355512243690746
4,0.25,0.06,0.23787696970299246,1.452970490023013,9.940530757574253,0.010835265442369568,0.010694007197971617,1.5999035851050318,2030.0,0.23787696970299246,0.015008400520780674,-0.059469242425747026,0.06194149560279971,-0.0028167597649094646,0.06475825536770903
5,0.25,0.06,0.2974796334775751,1.4529752435581076,9.925630091630607,0.010906495681616127,0.010729622317594903,1.6004085888115263,2031.0,0.2974796334775751,0.015013154055875333,-0.07436990836939295,0.062446499309294135,-0.0035243042056100726,0.06597080351490427
6,0.25,0.06,0.3571525681341257,1.4529810739499354,9.91071185796647,0.010977989019517381,0.010765368986545537,1.6009216866783869,2032.0,0.3571525681341257,0.01501898444770311,-0.08928814203352964,0.06295959717615474,-0.004233400572474293,0.06719299774862912
7,0.25,0.06,0.4169043416885095,1.452987990109817,9.895773914577875,0.01104975711578031,0.010801253034676994,1.6014430088969462,2033.0,0.4169043416885095,0.015025900607584797,-0.10422608542212508,0.06348091939471412,-0.0049441560893464425,0.06842507548406052
8,0.25,0.06,0.47674359743037803,1.4529960016378878,9.880814100642407,0.011121811834978027,0.010837280394275853,1.601972691076001,2034.0,0.47674359743037803,0.015033912135655525,-0.11918589935759272,0.06401060157376892,-0.005656679331131283,0.06966728090490029
9,0.25,0.06,0.5366790594203259,1.453005118839458,9.865830235144921,0.011194165255856509,0.0108734571047151,1.6025108743998395,2035.0,0.5366790594203259,0.015043029337225677,-0.1341697648550788,0.0645487848976074,-0.006371080299718113,0.07091986519732546
10,0.25,0.06,0.5967195381196382,1.4530153527424623,9.850820115470093,0.011266829680982707,0.010909789317278193,1.6030577057949436,2036.0,0.5967195381196382,0.015053263240230041,-0.14917988452990727,0.06509561629271143,-0.00708747050220238,0.07218308679491384
